Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Begin File	Notes
1	Spectrogram 1	1	252.105	252.294	0.188	31.1	591.6	560.5	240.0	AU-BS02b-131029-010000.wav	start pattern
2	Spectrogram 1	1	261.188	261.377	0.188	31.1	774.9	743.8	32.0	AU-BS02b-131029-010000.wav	
3	Spectrogram 1	1	261.641	261.791	0.151	41.5	477.4	435.9	64.0	AU-BS02b-131029-010000.wav	
4	Spectrogram 1	1	266.201	266.389	0.188	13.8	446.3	432.5	16.0	AU-BS02b-131029-010000.wav	
5	Spectrogram 1	1	266.691	266.917	0.226	24.2	435.9	411.7	64.0	AU-BS02b-131029-010000.wav	
6	Spectrogram 1	1	271.289	271.440	0.151	17.3	480.9	463.6	32.0	AU-BS02b-131029-010000.wav	
7	Spectrogram 1	1	271.760	271.948	0.188	27.7	484.3	456.6	128.0	AU-BS02b-131029-010000.wav	
8	Spectrogram 1	1	276.294	276.482	0.188	27.7	885.6	857.9	64.0	AU-BS02b-131029-010000.wav	
9	Spectrogram 1	1	276.784	277.048	0.264	17.3	626.2	608.9	160.0	AU-BS02b-131029-010000.wav	
10	Spectrogram 1	1	281.420	281.646	0.226	32.9	1037.8	1004.9	64.0	AU-BS02b-131029-010000.wav	
11	Spectrogram 1	1	281.947	282.173	0.226	34.6	422.1	387.5	64.0	AU-BS02b-131029-010000.wav	
12	Spectrogram 1	1	286.583	286.809	0.226	45.0	961.7	916.7	48.0	AU-BS02b-131029-010000.wav	
13	Spectrogram 1	1	287.224	287.487	0.264	55.4	844.1	788.7	64.0	AU-BS02b-131029-010000.wav	
14	Spectrogram 1	1	570.565	570.791	0.226	41.5	965.2	923.7	224.0	AU-BS02b-131029-010000.wav	start pattern
15	Spectrogram 1	1	571.055	571.281	0.226	50.2	657.3	607.1	64.0	AU-BS02b-131029-010000.wav	
16	Spectrogram 1	1	580.176	580.364	0.188	27.7	2027.2	1999.5	336.0	AU-BS02b-131029-010000.wav	
17	Spectrogram 1	1	580.666	580.892	0.226	31.1	743.8	712.7	272.0	AU-BS02b-131029-010000.wav	
18	Spectrogram 1	1	585.188	585.377	0.188	69.2	2027.2	1958.0	224.0	AU-BS02b-131029-010000.wav	
19	Spectrogram 1	1	585.735	585.923	0.188	62.3	553.5	491.2	192.0	AU-BS02b-131029-010000.wav	
20	Spectrogram 1	1	590.257	590.446	0.188	60.5	1241.9	1181.4	224.0	AU-BS02b-131029-010000.wav	
21	Spectrogram 1	1	590.804	591.030	0.226	65.7	446.3	380.6	272.0	AU-BS02b-131029-010000.wav	
22	Spectrogram 1	1	595.327	595.553	0.226	55.4	2020.3	1964.9	256.0	AU-BS02b-131029-010000.wav	
23	Spectrogram 1	1	595.892	596.156	0.264	51.9	581.2	529.3	256.0	AU-BS02b-131029-010000.wav	
24	Spectrogram 1	1	600.520	600.709	0.188	41.5	2037.6	1996.1	240.0	AU-BS02b-131029-011000.wav	
25	Spectrogram 1	1	601.010	601.236	0.226	65.7	626.2	560.5	272.0	AU-BS02b-131029-011000.wav	
26	Spectrogram 1	1	605.646	605.872	0.226	48.4	892.5	844.1	224.0	AU-BS02b-131029-011000.wav	
27	Spectrogram 1	1	606.173	606.399	0.226	45.0	435.9	390.9	96.0	AU-BS02b-131029-011000.wav	
28	Spectrogram 1	1	610.884	611.073	0.188	38.1	2034.2	1996.1	832.0	AU-BS02b-131029-011000.wav	
29	Spectrogram 1	1	611.412	611.600	0.188	58.8	429.0	370.2	288.0	AU-BS02b-131029-011000.wav	
30	Spectrogram 1	1	825.980	826.168	0.188	38.1	1542.9	1504.8	384.0	AU-BS02b-131029-011000.wav	start pattern
31	Spectrogram 1	1	826.508	826.734	0.226	38.1	636.5	598.4	80.0	AU-BS02b-131029-011000.wav	
32	Spectrogram 1	1	835.590	835.817	0.226	45.0	1657.1	1612.1	192.0	AU-BS02b-131029-011000.wav	
33	Spectrogram 1	1	836.118	836.457	0.339	41.5	463.6	422.1	80.0	AU-BS02b-131029-011000.wav	
34	Spectrogram 1	1	840.565	840.791	0.226	51.9	2030.7	1978.8	64.0	AU-BS02b-131029-011000.wav	
35	Spectrogram 1	1	841.093	841.319	0.226	62.3	902.9	840.6	128.0	AU-BS02b-131029-011000.wav	
36	Spectrogram 1	1	845.691	845.917	0.226	51.9	1670.9	1619.0	256.0	AU-BS02b-131029-011000.wav	
37	Spectrogram 1	1	846.256	846.482	0.226	55.4	989.4	934.0	64.0	AU-BS02b-131029-011000.wav	
38	Spectrogram 1	1	850.779	851.043	0.264	69.2	1262.7	1193.5	256.0	AU-BS02b-131029-011000.wav	
39	Spectrogram 1	1	851.344	851.570	0.226	72.6	494.7	422.1	144.0	AU-BS02b-131029-011000.wav	
40	Spectrogram 1	1	855.923	856.093	0.170	81.3	1094.9	1013.6	256.0	AU-BS02b-131029-011000.wav	
41	Spectrogram 1	1	856.470	856.696	0.226	76.1	878.7	802.6	256.0	AU-BS02b-131029-011000.wav	
42	Spectrogram 1	1	861.256	861.445	0.188	51.9	1113.9	1062.0	192.0	AU-BS02b-131029-011000.wav	
43	Spectrogram 1	1	861.746	862.010	0.264	58.8	885.6	826.8	128.0	AU-BS02b-131029-011000.wav	
44	Spectrogram 1	1	866.570	866.759	0.188	62.3	2041.1	1978.8	64.0	AU-BS02b-131029-011000.wav	
45	Spectrogram 1	1	867.079	867.268	0.188	65.7	882.2	816.5	96.0	AU-BS02b-131029-011000.wav	
46	Spectrogram 1	1	1088.461	1088.649	0.188	60.5	1530.8	1470.3	144.0	AU-BS02b-131029-011000.wav	start pattern
47	Spectrogram 1	1	1088.932	1089.158	0.226	57.1	781.8	724.7	80.0	AU-BS02b-131029-011000.wav	
48	Spectrogram 1	1	1098.090	1098.279	0.188	83.0	1497.9	1414.9	368.0	AU-BS02b-131029-011000.wav	
49	Spectrogram 1	1	1098.580	1098.769	0.188	76.1	1141.6	1065.5	80.0	AU-BS02b-131029-011000.wav	
50	Spectrogram 1	1	1103.216	1103.442	0.226	58.8	2027.2	1968.4	272.0	AU-BS02b-131029-011000.wav	
51	Spectrogram 1	1	1103.781	1104.083	0.302	58.8	934.1	875.3	64.0	AU-BS02b-131029-011000.wav	
52	Spectrogram 1	1	1108.229	1108.417	0.188	55.4	2034.2	1978.8	144.0	AU-BS02b-131029-011000.wav	
53	Spectrogram 1	1	1108.737	1108.926	0.188	57.1	1139.9	1082.8	384.0	AU-BS02b-131029-011000.wav	
54	Spectrogram 1	1	1113.392	1113.618	0.226	89.9	2006.5	1916.6	208.0	AU-BS02b-131029-011000.wav	
55	Spectrogram 1	1	1113.882	1114.146	0.264	72.6	1494.5	1421.9	368.0	AU-BS02b-131029-011000.wav	
56	Spectrogram 1	1	1118.480	1118.668	0.188	76.1	1518.7	1442.6	112.0	AU-BS02b-131029-011000.wav	
57	Spectrogram 1	1	1119.007	1119.196	0.188	131.5	878.7	747.2	272.0	AU-BS02b-131029-011000.wav	
58	Spectrogram 1	1	1123.568	1123.719	0.151	55.4	1425.3	1369.9	336.0	AU-BS02b-131029-011000.wav	
59	Spectrogram 1	1	1124.095	1124.246	0.151	46.7	1067.2	1020.5	96.0	AU-BS02b-131029-011000.wav	
60	Spectrogram 1	1	1128.844	1128.995	0.151	76.1	1176.2	1100.1	144.0	AU-BS02b-131029-011000.wav	
61	Spectrogram 1	1	1129.334	1129.485	0.151	102.1	1094.9	992.8	240.0	AU-BS02b-131029-011000.wav	
62	Spectrogram 1	1	1134.121	1134.309	0.188	103.8	2037.6	1933.8	128.0	AU-BS02b-131029-011000.wav	
63	Spectrogram 1	1	1134.610	1134.837	0.226	86.5	1380.3	1293.8	352.0	AU-BS02b-131029-011000.wav	
64	Spectrogram 1	1	1359.629	1359.818	0.188	43.2	987.7	944.5	368.0	AU-BS02b-131029-012000.wav	start pattern
65	Spectrogram 1	1	1360.063	1360.251	0.188	45.0	487.8	442.8	240.0	AU-BS02b-131029-012000.wav	
66	Spectrogram 1	1	1369.108	1369.296	0.188	62.3	2034.2	1971.9	944.0	AU-BS02b-131029-012000.wav	
67	Spectrogram 1	1	1369.598	1369.786	0.188	83.0	999.8	916.8	112.0	AU-BS02b-131029-012000.wav	
68	Spectrogram 1	1	1374.196	1374.384	0.188	76.1	1532.5	1456.4	272.0	AU-BS02b-131029-012000.wav	
69	Spectrogram 1	1	1374.648	1374.874	0.226	86.5	961.7	875.2	208.0	AU-BS02b-131029-012000.wav	
70	Spectrogram 1	1	1379.340	1379.529	0.188	67.5	1067.2	999.7	384.0	AU-BS02b-131029-012000.wav	
71	Spectrogram 1	1	1379.793	1379.981	0.188	69.2	941.0	871.8	128.0	AU-BS02b-131029-012000.wav	
72	Spectrogram 1	1	1384.485	1384.673	0.188	62.3	909.8	847.5	144.0	AU-BS02b-131029-012000.wav	
73	Spectrogram 1	1	1384.975	1385.201	0.226	51.9	591.6	539.7	64.0	AU-BS02b-131029-012000.wav	
74	Spectrogram 1	1	1389.686	1389.874	0.188	62.3	961.7	899.4	144.0	AU-BS02b-131029-012000.wav	
75	Spectrogram 1	1	1390.138	1390.327	0.188	69.2	640.0	570.8	208.0	AU-BS02b-131029-012000.wav	
76	Spectrogram 1	1	1617.350	1617.539	0.188	41.5	1695.1	1653.6	336.0	AU-BS02b-131029-012000.wav	start pattern
77	Spectrogram 1	1	1617.822	1618.048	0.226	51.9	844.1	792.2	80.0	AU-BS02b-131029-012000.wav	
78	Spectrogram 1	1	1627.010	1627.161	0.151	69.2	2030.7	1961.5	416.0	AU-BS02b-131029-012000.wav	
79	Spectrogram 1	1	1627.462	1627.651	0.188	69.2	501.6	432.4	304.0	AU-BS02b-131029-012000.wav	
80	Spectrogram 1	1	1632.173	1632.362	0.188	83.0	1864.6	1781.6	112.0	AU-BS02b-131029-012000.wav	
81	Spectrogram 1	1	1632.663	1632.889	0.226	69.2	1293.8	1224.6	80.0	AU-BS02b-131029-012000.wav	
82	Spectrogram 1	1	1637.337	1637.563	0.226	83.0	1470.3	1387.3	128.0	AU-BS02b-131029-012000.wav	
83	Spectrogram 1	1	1637.827	1638.090	0.264	86.5	1459.9	1373.4	368.0	AU-BS02b-131029-012000.wav	
84	Spectrogram 1	1	1642.425	1642.651	0.226	79.6	1608.6	1529.0	400.0	AU-BS02b-131029-012000.wav	
85	Spectrogram 1	1	1642.952	1643.178	0.226	65.7	961.7	896.0	112.0	AU-BS02b-131029-012000.wav	
86	Spectrogram 1	1	1647.588	1647.814	0.226	86.5	1643.2	1556.7	240.0	AU-BS02b-131029-012000.wav	
87	Spectrogram 1	1	1648.116	1648.417	0.302	83.0	823.4	740.4	112.0	AU-BS02b-131029-012000.wav	
88	Spectrogram 1	1	1652.714	1652.940	0.226	83.0	1356.1	1273.1	240.0	AU-BS02b-131029-012000.wav	
89	Spectrogram 1	1	1653.166	1653.354	0.188	86.5	595.0	508.5	272.0	AU-BS02b-131029-012000.wav	
90	Spectrogram 1	1	1657.896	1658.084	0.188	60.5	1440.9	1380.4	240.0	AU-BS02b-131029-012000.wav	
91	Spectrogram 1	1	1658.442	1658.631	0.188	48.4	1359.6	1311.2	128.0	AU-BS02b-131029-012000.wav	
92	Spectrogram 1	1	1850.868	1851.057	0.188	64.0	951.4	887.4	64.0	AU-BS02b-131029-013000.wav	start pattern
93	Spectrogram 1	1	1851.301	1851.603	0.302	58.8	508.5	449.7	96.0	AU-BS02b-131029-013000.wav	
94	Spectrogram 1	1	1860.573	1860.799	0.226	51.9	1518.7	1466.8	368.0	AU-BS02b-131029-013000.wav	
95	Spectrogram 1	1	1861.100	1861.289	0.188	51.9	650.4	598.5	80.0	AU-BS02b-131029-013000.wav	
96	Spectrogram 1	1	1865.548	1865.736	0.188	62.3	2041.1	1978.8	384.0	AU-BS02b-131029-013000.wav	
97	Spectrogram 1	1	1866.038	1866.264	0.226	58.8	902.9	844.1	128.0	AU-BS02b-131029-013000.wav	
98	Spectrogram 1	1	1870.636	1870.824	0.188	65.7	2041.1	1975.4	176.0	AU-BS02b-131029-013000.wav	
99	Spectrogram 1	1	1871.088	1871.352	0.264	72.6	951.4	878.8	176.0	AU-BS02b-131029-013000.wav	
100	Spectrogram 1	1	1875.799	1875.987	0.188	89.9	2020.3	1930.4	288.0	AU-BS02b-131029-013000.wav	
101	Spectrogram 1	1	1876.289	1876.477	0.188	89.9	1435.7	1345.8	368.0	AU-BS02b-131029-013000.wav	
102	Spectrogram 1	1	1880.925	1881.113	0.188	69.2	1162.4	1093.2	256.0	AU-BS02b-131029-013000.wav	
103	Spectrogram 1	1	1881.433	1881.622	0.188	70.9	774.9	704.0	160.0	AU-BS02b-131029-013000.wav	
104	Spectrogram 1	1	1886.163	1886.389	0.226	62.3	906.4	844.1	240.0	AU-BS02b-131029-013000.wav	
105	Spectrogram 1	1	1886.729	1886.879	0.151	62.3	916.8	854.5	64.0	AU-BS02b-131029-013000.wav	
106	Spectrogram 1	1	1891.345	1891.534	0.188	60.5	2029.0	1968.5	64.0	AU-BS02b-131029-013000.wav	
107	Spectrogram 1	1	1891.817	1892.043	0.226	69.2	878.7	809.5	240.0	AU-BS02b-131029-013000.wav	
108	Spectrogram 1	1	1896.671	1896.822	0.151	69.2	2041.1	1971.9	192.0	AU-BS02b-131029-013000.wav	
109	Spectrogram 1	1	1897.123	1897.274	0.151	72.6	2016.9	1944.3	160.0	AU-BS02b-131029-013000.wav	
110	Spectrogram 1	1	2295.814	2296.040	0.226	27.7	896.0	868.3	160.0	AU-BS02b-131029-013000.wav	start pattern. skipped one overlapping GS
111	Spectrogram 1	1	2296.361	2296.624	0.264	27.7	657.3	629.6	80.0	AU-BS02b-131029-013000.wav	
112	Spectrogram 1	1	2305.274	2305.462	0.188	65.7	2041.1	1975.4	304.0	AU-BS02b-131029-013000.wav	
113	Spectrogram 1	1	2305.764	2305.952	0.188	55.4	892.5	837.1	336.0	AU-BS02b-131029-013000.wav	
114	Spectrogram 1	1	2310.286	2310.513	0.226	72.6	1639.8	1567.2	304.0	AU-BS02b-131029-013000.wav	
115	Spectrogram 1	1	2310.776	2311.002	0.226	58.8	892.5	833.7	64.0	AU-BS02b-131029-013000.wav	
116	Spectrogram 1	1	2315.450	2315.676	0.226	60.5	1385.5	1325.0	144.0	AU-BS02b-131029-013000.wav	
117	Spectrogram 1	1	2315.977	2316.203	0.226	72.6	920.2	847.6	400.0	AU-BS02b-131029-013000.wav	
118	Spectrogram 1	1	2320.500	2320.726	0.226	83.0	456.6	373.6	160.0	AU-BS02b-131029-013000.wav	
119	Spectrogram 1	1	2321.028	2321.254	0.226	79.6	349.4	269.8	160.0	AU-BS02b-131029-013000.wav	
120	Spectrogram 1	1	2519.661	2519.849	0.188	34.6	961.7	927.1	112.0	AU-BS02b-131029-014000.wav	start pattern
121	Spectrogram 1	1	2520.188	2520.414	0.226	32.9	582.9	550.0	160.0	AU-BS02b-131029-014000.wav	
122	Spectrogram 1	1	2529.234	2529.422	0.188	55.4	958.3	902.9	80.0	AU-BS02b-131029-014000.wav	
123	Spectrogram 1	1	2529.761	2530.025	0.264	58.8	570.8	512.0	96.0	AU-BS02b-131029-014000.wav	
124	Spectrogram 1	1	2534.322	2534.548	0.226	51.9	913.3	861.4	160.0	AU-BS02b-131029-014000.wav	
125	Spectrogram 1	1	2534.887	2535.075	0.188	58.8	1082.8	1024.0	64.0	AU-BS02b-131029-014000.wav	
126	Spectrogram 1	1	2539.447	2539.673	0.226	48.4	930.6	882.2	96.0	AU-BS02b-131029-014000.wav	
127	Spectrogram 1	1	2539.975	2540.163	0.188	51.9	944.4	892.5	64.0	AU-BS02b-131029-014000.wav	
128	Spectrogram 1	1	2544.603	2544.791	0.188	72.6	1162.4	1089.8	208.0	AU-BS02b-131029-014000.wav	
129	Spectrogram 1	1	2545.074	2545.263	0.188	77.8	1119.1	1041.3	112.0	AU-BS02b-131029-014000.wav	
130	Spectrogram 1	1	2549.804	2549.992	0.188	69.2	1529.1	1459.9	80.0	AU-BS02b-131029-014000.wav	
131	Spectrogram 1	1	2550.294	2550.445	0.151	72.6	1131.2	1058.6	112.0	AU-BS02b-131029-014000.wav	
132	Spectrogram 1	1	2555.005	2555.231	0.226	45.0	944.4	899.4	64.0	AU-BS02b-131029-014000.wav	
133	Spectrogram 1	1	2555.495	2555.721	0.226	41.5	951.4	909.9	144.0	AU-BS02b-131029-014000.wav	
134	Spectrogram 1	1	2686.523	2686.749	0.226	27.7	840.6	812.9	352.0	AU-BS02b-131029-014000.wav	start pattern
135	Spectrogram 1	1	2687.012	2687.314	0.302	17.3	761.1	743.8	64.0	AU-BS02b-131029-014000.wav	
136	Spectrogram 1	1	2696.095	2696.322	0.226	41.5	1034.4	992.9	384.0	AU-BS02b-131029-014000.wav	
137	Spectrogram 1	1	2696.623	2696.811	0.188	38.1	1020.5	982.4	48.0	AU-BS02b-131029-014000.wav	
138	Spectrogram 1	1	2701.221	2701.409	0.188	51.9	1079.4	1027.5	352.0	AU-BS02b-131029-014000.wav	
139	Spectrogram 1	1	2701.673	2701.937	0.264	55.4	982.5	927.1	64.0	AU-BS02b-131029-014000.wav	
140	Spectrogram 1	1	2706.339	2706.565	0.226	76.1	1100.1	1024.0	160.0	AU-BS02b-131029-014000.wav	
141	Spectrogram 1	1	2706.886	2707.074	0.188	70.9	1098.4	1027.5	256.0	AU-BS02b-131029-014000.wav	
142	Spectrogram 1	1	2711.465	2711.691	0.226	86.5	1010.2	923.7	240.0	AU-BS02b-131029-014000.wav	
143	Spectrogram 1	1	2711.992	2712.181	0.188	58.8	937.5	878.7	64.0	AU-BS02b-131029-014000.wav	
144	Spectrogram 1	1	2716.666	2716.854	0.188	55.4	1013.6	958.2	240.0	AU-BS02b-131029-014000.wav	
145	Spectrogram 1	1	2717.156	2717.382	0.226	65.7	882.2	816.5	272.0	AU-BS02b-131029-014000.wav	
146	Spectrogram 1	1	2721.791	2721.980	0.188	48.4	1006.7	958.3	256.0	AU-BS02b-131029-014000.wav	
147	Spectrogram 1	1	2722.281	2722.545	0.264	48.4	958.3	909.9	208.0	AU-BS02b-131029-014000.wav	
148	Spectrogram 1	1	2904.633	2904.859	0.226	10.4	712.6	702.2	16.0	AU-BS02b-131029-014000.wav	start pattern
149	Spectrogram 1	1	2905.085	2905.311	0.226	34.6	667.7	633.1	128.0	AU-BS02b-131029-014000.wav	
150	Spectrogram 1	1	2914.244	2914.470	0.226	41.5	2027.2	1985.7	240.0	AU-BS02b-131029-014000.wav	
151	Spectrogram 1	1	2914.771	2914.960	0.188	45.0	1944.2	1899.2	128.0	AU-BS02b-131029-014000.wav	
152	Spectrogram 1	1	2919.332	2919.520	0.188	27.7	2041.1	2013.4	288.0	AU-BS02b-131029-014000.wav	
153	Spectrogram 1	1	2919.784	2920.010	0.226	43.2	1089.7	1046.5	48.0	AU-BS02b-131029-014000.wav	
154	Spectrogram 1	1	2924.374	2924.563	0.188	62.3	1169.3	1107.0	256.0	AU-BS02b-131029-014000.wav	
155	Spectrogram 1	1	2924.883	2925.072	0.188	55.4	1148.5	1093.1	64.0	AU-BS02b-131029-014000.wav	
156	Spectrogram 1	1	2929.425	2929.613	0.188	48.4	1605.2	1556.8	144.0	AU-BS02b-131029-014000.wav	
157	Spectrogram 1	1	2929.952	2930.216	0.264	48.4	1100.1	1051.7	128.0	AU-BS02b-131029-014000.wav	
158	Spectrogram 1	1	2934.588	2934.739	0.151	72.6	1636.3	1563.7	416.0	AU-BS02b-131029-014000.wav	
159	Spectrogram 1	1	2935.116	2935.304	0.188	72.6	1127.8	1055.2	144.0	AU-BS02b-131029-014000.wav	
160	Spectrogram 1	1	3095.759	3096.023	0.264	38.1	1280.0	1241.9	320.0	AU-BS02b-131029-015000.wav	start pattern
161	Spectrogram 1	1	3096.249	3096.512	0.264	34.6	435.9	401.3	160.0	AU-BS02b-131029-015000.wav	
162	Spectrogram 1	1	3105.482	3105.708	0.226	45.0	961.7	916.7	112.0	AU-BS02b-131029-015000.wav	
163	Spectrogram 1	1	3106.010	3106.274	0.264	41.5	702.3	660.8	160.0	AU-BS02b-131029-015000.wav	
164	Spectrogram 1	1	3110.721	3110.872	0.151	45.0	1034.4	989.4	160.0	AU-BS02b-131029-015000.wav	
165	Spectrogram 1	1	3111.173	3111.399	0.226	103.8	944.4	840.6	160.0	AU-BS02b-131029-015000.wav	
166	Spectrogram 1	1	3115.809	3115.997	0.188	48.4	1096.6	1048.2	80.0	AU-BS02b-131029-015000.wav	
167	Spectrogram 1	1	3116.261	3116.450	0.188	55.4	930.6	875.2	80.0	AU-BS02b-131029-015000.wav	
168	Spectrogram 1	1	3120.935	3121.161	0.226	55.4	1086.3	1030.9	160.0	AU-BS02b-131029-015000.wav	
169	Spectrogram 1	1	3121.462	3121.651	0.188	55.4	729.9	674.5	240.0	AU-BS02b-131029-015000.wav	
170	Spectrogram 1	1	3126.060	3126.249	0.188	51.9	954.8	902.9	352.0	AU-BS02b-131029-015000.wav	
171	Spectrogram 1	1	3126.588	3126.776	0.188	55.4	996.3	940.9	160.0	AU-BS02b-131029-015000.wav	
172	Spectrogram 1	1	3131.299	3131.525	0.226	51.9	906.4	854.5	272.0	AU-BS02b-131029-015000.wav	
173	Spectrogram 1	1	3131.751	3132.053	0.302	55.4	906.4	851.0	272.0	AU-BS02b-131029-015000.wav	
174	Spectrogram 1	1	3136.455	3136.643	0.188	51.9	909.8	857.9	320.0	AU-BS02b-131029-015000.wav	
175	Spectrogram 1	1	3136.907	3137.133	0.226	62.3	930.6	868.3	208.0	AU-BS02b-131029-015000.wav	
176	Spectrogram 1	1	3483.972	3484.198	0.226	38.1	1169.3	1131.2	176.0	AU-BS02b-131029-015000.wav	start pattern - skipped one bc overlapping hump and GS
177	Spectrogram 1	1	3484.425	3484.726	0.302	34.6	968.6	934.0	160.0	AU-BS02b-131029-015000.wav	
178	Spectrogram 1	1	3493.847	3493.997	0.151	65.7	778.4	712.7	160.0	AU-BS02b-131029-015000.wav	
179	Spectrogram 1	1	3494.299	3494.450	0.151	69.2	733.4	664.2	160.0	AU-BS02b-131029-015000.wav	
180	Spectrogram 1	1	3498.972	3499.161	0.188	69.2	996.3	927.1	160.0	AU-BS02b-131029-015000.wav	
