Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
29	Spectrogram 1	1	2037.831268678	2039.277048869	48.7	209.3	FN
71	Spectrogram 1	1	2039.648895264	2040.972076416	155	185	FP
72	Spectrogram 1	1	2045.777313232	2046.543365479	155	225	FP
30	Spectrogram 1	1	2100.397571242	2101.954565294	64.5	182.1	FN
73	Spectrogram 1	1	2110.961395264	2111.72744751	165	215	FP
74	Spectrogram 1	1	2120.084381104	2121.268280029	85	115	FP
75	Spectrogram 1	1	2126.003875732	2126.561004639	65	155	FP
76	Spectrogram 1	1	2138.887481689	2139.653533936	135	175	FP
31	Spectrogram 1	1	2143.189939483	2144.663523139	75.8	193.5	TP
78	Spectrogram 1	1	2153.860321045	2154.556732178	155	195	FP
32	Spectrogram 1	1	2183.343813807	2184.567166276	69	170.8	TP
33	Spectrogram 1	1	2218.017570206	2219.129708814	69	207	FN
80	Spectrogram 1	1	2226.356719971	2226.913848877	135	195	FP
34	Spectrogram 1	1	2248.520806823	2249.660748896	69	195.7	FN
81	Spectrogram 1	1	2266.8878479	2267.375335693	55	105	FP
35	Spectrogram 1	1	2291.260403411	2292.233524694	75.8	179.9	FN
82	Spectrogram 1	1	2307.906463623	2308.881439209	75	165	FP
36	Spectrogram 1	1	2330.966587014	2331.939708296	62.2	157.3	FN
37	Spectrogram 1	1	2385.772887505	2386.857222648	57.7	164	FN
83	Spectrogram 1	1	2386.391998291	2386.879486084	165	185	TP
84	Spectrogram 1	1	2404.916534424	2405.68258667	85	115	FP
85	Spectrogram 1	1	2425.808868408	2426.574920654	145	195	FP
38	Spectrogram 1	1	2436.797916727	2437.993465731	55.4	161.8	FN
86	Spectrogram 1	1	2450.322540283	2450.810028076	125	175	FP
87	Spectrogram 1	1	2481.24319458	2481.939605713	145	195	FP
88	Spectrogram 1	1	2528.111663818	2528.877716064	165	225	FP
89	Spectrogram 1	1	2539.532806396	2540.229217529	165	215	FP
90	Spectrogram 1	1	2578.601470947	2579.367523193	195	245	FP
39	Spectrogram 1	1	2588.927686576	2591.040749933	73.5	218.3	FN
40	Spectrogram 1	1	2633.129708814	2635.353986031	71.3	191.2	FN
91	Spectrogram 1	1	2648.660430908	2649.287200928	195	225	FP
92	Spectrogram 1	1	2692.673614502	2693.161102295	175	205	FP
41	Spectrogram 1	1	2702.841501938	2704.259478664	64.5	177.6	FN
42	Spectrogram 1	1	2773.384563739	2774.635719674	69	218.3	FN
93	Spectrogram 1	1	2774.223358154	2774.641204834	195	215	TP
43	Spectrogram 1	1	2839.009247477	2840.065779155	71.3	198	FN
94	Spectrogram 1	1	2839.616363525	2840.103851318	155	205	TP
44	Spectrogram 1	1	2880.022193944	2881.301153344	60	204.8	FN
45	Spectrogram 1	1	2947.287282129	2948.482831133	44.1	170.8	FN
46	Spectrogram 1	1	2979.931385567	2981.293755362	64.5	200.2	FN
95	Spectrogram 1	1	2983.285980225	2984.539520264	65	135	FP
96	Spectrogram 1	1	3078.415740967	3079.1121521	45	115	FP
97	Spectrogram 1	1	3083.429901123	3083.917388916	215	235	FP
98	Spectrogram 1	1	3106.620391846	3107.107879639	205	245	FP
47	Spectrogram 1	1	3127.723814843	3129.475433152	69	152.7	FN
99	Spectrogram 1	1	3200.496612549	3201.471588135	85	115	FP
100	Spectrogram 1	1	3307.674285889	3308.301055908	145	195	FP
101	Spectrogram 1	1	3351.826751709	3352.662445068	105	185	FP
102	Spectrogram 1	1	3366.799591064	3367.565643311	145	195	FP
103	Spectrogram 1	1	3373.136932373	3374.042266846	115	205	FP
104	Spectrogram 1	1	3405.868255615	3406.564666748	115	185	FP
48	Spectrogram 1	1	3476.71913007	3478.10930333	71.3	184.4	FN
105	Spectrogram 1	1	3506.081817627	3506.847869873	135	195	FP
106	Spectrogram 1	1	3516.527984619	3517.154754639	115	195	FP
107	Spectrogram 1	1	3540.972015381	3541.5987854	125	185	FP
108	Spectrogram 1	1	3545.916534424	3546.612945557	155	215	FP
109	Spectrogram 1	1	3591.879669189	3592.367156982	145	195	FP
110	Spectrogram 1	1	3616.880828857	3617.57723999	145	195	FP
111	Spectrogram 1	1	3621.686065674	3622.8699646	105	195	FP
112	Spectrogram 1	1	3696.132415771	3696.898468018	145	225	FP
