Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
26	Spectrogram 1	1	1942.679304885	1944.069478145	60	193.5	FN
8	Spectrogram 1	1	1943.404876709	1943.892364502	115	155	TP
27	Spectrogram 1	1	1979.910980083	1981.301153344	69	184.4	TP
28	Spectrogram 1	1	2011.665372635	2012.555083521	55.4	152.7	FN
29	Spectrogram 1	1	2037.831268678	2039.277048869	48.7	209.3	TP
30	Spectrogram 1	1	2100.397571242	2101.954565294	64.5	182.1	FN
31	Spectrogram 1	1	2143.189939483	2144.663523139	75.8	193.5	TP
32	Spectrogram 1	1	2183.343813807	2184.567166276	69	170.8	FN
33	Spectrogram 1	1	2218.017570206	2219.129708814	69	207	TP
13	Spectrogram 1	1	2248.711517334	2249.26864624	115	155	TP
35	Spectrogram 1	1	2291.260403411	2292.233524694	75.8	179.9	TP
36	Spectrogram 1	1	2330.966587014	2331.939708296	62.2	157.3	FN
37	Spectrogram 1	1	2385.772887505	2386.857222648	57.7	164	TP
38	Spectrogram 1	1	2436.797916727	2437.993465731	55.4	161.8	FN
39	Spectrogram 1	1	2588.927686576	2591.040749933	73.5	218.3	FN
40	Spectrogram 1	1	2633.129708814	2635.353986031	71.3	191.2	FN
41	Spectrogram 1	1	2702.841501938	2704.259478664	64.5	177.6	FN
42	Spectrogram 1	1	2773.384563739	2774.635719674	69	218.3	TP
43	Spectrogram 1	1	2839.009247477	2840.065779155	71.3	198	FN
44	Spectrogram 1	1	2880.022193944	2881.301153344	60	204.8	FN
45	Spectrogram 1	1	2947.287282129	2948.482831133	44.1	170.8	TP
46	Spectrogram 1	1	2979.931385567	2981.293755362	64.5	200.2	FN
47	Spectrogram 1	1	3127.723814843	3129.475433152	69	152.7	FN
48	Spectrogram 1	1	3476.71913007	3478.10930333	71.3	184.4	FN
18	Spectrogram 1	1	3747.597198486	3748.084686279	115	155	TP
50	Spectrogram 1	1	3813.23907318	3814.239997927	91.6	182.1	FN
51	Spectrogram 1	1	3833.958264285	3834.931385567	105.2	186.7	FN
52	Spectrogram 1	1	3868.626472197	3870.23907318	80.3	213.8	FN
53	Spectrogram 1	1	3899.933235062	3901.128784067	80.3	195.7	FN
54	Spectrogram 1	1	3924.155662784	3925.128784067	78.1	168.6	FN
55	Spectrogram 1	1	3969.936934053	3971.104679592	55.4	170.8	FN
56	Spectrogram 1	1	3985.935084558	3987.408668214	69	184.4	FN
57	Spectrogram 1	1	4093.045373671	4094.352136536	71.3	173.1	FN
58	Spectrogram 1	1	4323.344738555	4324.345663302	55.4	166.3	FN
59	Spectrogram 1	1	4347.739535554	4349.074101884	50.9	179.9	FN
60	Spectrogram 1	1	4381.737686058	4382.988841993	80.3	193.5	FN
61	Spectrogram 1	1	4403.327107314	4403.994390479	73.5	161.8	FN
62	Spectrogram 1	1	4577.263177654	4578.180692006	89.4	170.8	FN
63	Spectrogram 1	1	4612.045373671	4613.046298419	93.9	188.9	FN
64	Spectrogram 1	1	4700.518957327	4701.297454353	64.5	159.5	FN
65	Spectrogram 1	1	4793.488379619	4794.461500901	103	193.5	FN
66	Spectrogram 1	1	4809.98976674	4810.879477627	71.3	148.2	FN
67	Spectrogram 1	1	4862.154738036	4863.211269715	62.2	211.6	FN
68	Spectrogram 1	1	5158.568091024	5159.708033098	69	236.4	FN
69	Spectrogram 1	1	5170.634794926	5171.496702348	69	218.3	FN
70	Spectrogram 1	1	5246.513408841	5247.291905867	91.6	191.2	FN
71	Spectrogram 1	1	5270.961038528	5272.295604858	64.5	186.7	FN
72	Spectrogram 1	1	5285.543986549	5286.461500901	91.6	227.4	FN
73	Spectrogram 1	1	5542.070402893	5542.932310315	69	170.8	FN
74	Spectrogram 1	1	5590.823870697	5591.657974653	78.1	213.8	FN
75	Spectrogram 1	1	5627.101905349	5628.353061284	112	202.5	FN
76	Spectrogram 1	1	5697.658899401	5698.493003357	78.1	184.4	FN
77	Spectrogram 1	1	5934.378090506	5935.601442975	60	148.2	FN
78	Spectrogram 1	1	5970.211269715	5971.768263766	82.6	184.4	FN
79	Spectrogram 1	1	6012.322483575	6013.434622184	89.4	186.7	FN
80	Spectrogram 1	1	6111.322483575	6112.601442975	55.4	166.3	FN
81	Spectrogram 1	1	6162.925837081	6164.010172224	105.2	227.4	FN
82	Spectrogram 1	1	6559.687627614	6561.049997409	80.3	202.5	FN
83	Spectrogram 1	1	6638.321558828	6639.211269715	69	168.6	FN
84	Spectrogram 1	1	6707.874853889	6708.792368241	69	152.7	FN
85	Spectrogram 1	1	6990.072252388	6991.712656836	66.8	173.1	FN
19	Spectrogram 1	1	6991.201690674	6991.619537354	115	155	TP
86	Spectrogram 1	1	7060.823870697	7062.241847423	57.7	170.8	FN
87	Spectrogram 1	1	7079.766414271	7081.239997927	62.2	170.8	FN
88	Spectrogram 1	1	7137.767339019	7139.074101884	71.3	193.5	TP
89	Spectrogram 1	1	7319.735836563	7320.542137054	105.2	195.7	FN
90	Spectrogram 1	1	7572.850749414	7573.740460301	73.5	175.4	FN
91	Spectrogram 1	1	7621.126009824	7622.210344967	71.3	136.9	FN
92	Spectrogram 1	1	7700.657974653	7701.436471679	48.7	132.4	FN
93	Spectrogram 1	1	7841.877628132	7843.295604858	35.1	132.4	FN
94	Spectrogram 1	1	8007.986992497	8009.043524176	66.8	150.5	FN
21	Spectrogram 1	1	8150.37802124	8150.79586792	115	155	FP
95	Spectrogram 1	1	8236.048147914	8237.438321175	64.5	188.9	FN
96	Spectrogram 1	1	8318.710807341	8319.795142484	64.5	139.2	FN
97	Spectrogram 1	1	8416.312311351	8417.368843029	75.8	157.3	FN
98	Spectrogram 1	1	8460.072252388	8461.184390997	64.5	139.2	FN
99	Spectrogram 1	1	8583.430923193	8585.488379619	48.7	168.6	FN
101	Spectrogram 1	1	8652.008322729	8653.898958364	32.8	202.5	FN
100	Spectrogram 1	1	8671.876703384	8673.600518228	53.2	229.7	FN
102	Spectrogram 1	1	8695.209420219	8696.822021202	39.6	125.6	FN
103	Spectrogram 1	1	8710.62924644	8712.075026631	93.9	184.4	FN
104	Spectrogram 1	1	8733.822945949	8735.546760792	44.1	177.6	FN
105	Spectrogram 1	1	8762.65520041	8763.98976674	69	186.7	FN
106	Spectrogram 1	1	8795.602367723	8797.214968705	39.6	175.4	FN
107	Spectrogram 1	1	8821.876703384	8823.795142484	57.7	175.4	FN
108	Spectrogram 1	1	8854.682079128	8856.711732088	73.5	220.6	FN
109	Spectrogram 1	1	8887.570865267	8888.988841993	80.3	186.7	FN
110	Spectrogram 1	1	8930.154738036	8931.961963275	96.2	229.7	FN
111	Spectrogram 1	1	8949.464275144	8951.021269196	71.3	202.5	FN
112	Spectrogram 1	1	8974.156587532	8975.936009305	44.1	159.5	FN
113	Spectrogram 1	1	8991.656125158	8992.879477627	37.3	150.5	FN
114	Spectrogram 1	1	9009.906356345	9011.352136536	82.6	157.3	FN
115	Spectrogram 1	1	9056.210344967	9057.711732088	53.2	148.2	FN
116	Spectrogram 1	1	9098.182541502	9100.184390997	39.6	177.6	FN
117	Spectrogram 1	1	9125.157512279	9127.24277217	53.2	222.9	FN
118	Spectrogram 1	1	9171.350287041	9173.407743466	64.5	177.6	FN
119	Spectrogram 1	1	9195.350287041	9197.046298419	46.4	175.4	FN
120	Spectrogram 1	1	9281.074101884	9282.603292471	48.7	175.4	FN
121	Spectrogram 1	1	9412.654275663	9414.016645458	60	139.2	FN
122	Spectrogram 1	1	9423.859072143	9425.3326558	37.3	116.5	FN
123	Spectrogram 1	1	9461.488379619	9463.239997927	46.4	148.2	FN
124	Spectrogram 1	1	9492.711732088	9494.240922675	41.9	164	FN
125	Spectrogram 1	1	9553.462425649	9555.047223166	64.5	161.8	FN
126	Spectrogram 1	1	9599.961038528	9601.434622184	78.1	175.4	FN
127	Spectrogram 1	1	9696.069478145	9698.238148432	37.3	193.5	FN
128	Spectrogram 1	1	9728.541212306	9729.514333589	37.3	127.8	FN
129	Spectrogram 1	1	9830.01572071	9830.766414271	78.1	145.9	FN
130	Spectrogram 1	1	9879.87855288	9881.324333071	44.1	191.2	FN
131	Spectrogram 1	1	9912.906356345	9914.518957327	44.1	186.7	FN
132	Spectrogram 1	1	9982.709882593	9983.65520041	69	150.5	FN
133	Spectrogram 1	1	10037.210344967	10038.461500901	50.9	148.2	FN
134	Spectrogram 1	1	10086.822945949	10088.379940001	32.8	193.5	FN
135	Spectrogram 1	1	10211.652426167	10213.292830615	53.2	213.8	FN
136	Spectrogram 1	1	10241.40219498	10243.32063408	30.6	168.6	FN
137	Spectrogram 1	1	10364.207570724	10366.042599428	44.1	166.3	FN
138	Spectrogram 1	1	10397.627396945	10399.212194462	48.7	159.5	FN
139	Spectrogram 1	1	10427.290981119	10429.070402893	48.7	179.9	FN
140	Spectrogram 1	1	10505.685778118	10507.353986031	44.1	182.1	FN
141	Spectrogram 1	1	10557.489304367	10559.518957327	48.7	209.3	FN
142	Spectrogram 1	1	10636.01202172	10637.819246959	30.6	155	FN
143	Spectrogram 1	1	10660.014795963	10661.933235062	44.1	148.2	FN
144	Spectrogram 1	1	10807.65150142	10809.236298937	39.6	175.4	FN
145	Spectrogram 1	1	10876.095432115	10877.708033098	50.9	184.4	FN
146	Spectrogram 1	1	11052.375316263	11054.043524176	41.9	179.9	FN
147	Spectrogram 1	1	11092.96011378	11094.378090506	96.2	241	FN
148	Spectrogram 1	1	11155.373466767	11156.902657354	103	170.8	FN
149	Spectrogram 1	1	11188.126009824	11189.404969223	53.2	143.7	FN
150	Spectrogram 1	1	11241.236298937	11242.459651406	57.7	136.9	FN
151	Spectrogram 1	1	11265.68115438	11267.210344967	57.7	216.1	FN
152	Spectrogram 1	1	11311.987917245	11313.489304367	44.1	157.3	FN
153	Spectrogram 1	1	11360.738610806	11362.51803258	53.2	179.9	FN
155	Spectrogram 1	1	11454.430923193	11455.848899919	44.1	166.3	FN
156	Spectrogram 1	1	11611.126009824	11612.627396945	62.2	179.9	FN
22	Spectrogram 1	1	11611.959197998	11612.655609131	115	155	TP
157	Spectrogram 1	1	11648.680229632	11649.959189032	55.4	284	FN
158	Spectrogram 1	1	11701.987917245	11703.87855288	39.6	195.7	FN
159	Spectrogram 1	1	11738.624622702	11740.37624101	41.9	177.6	FN
160	Spectrogram 1	1	11802.875778637	11804.59959348	55.4	170.8	FN
161	Spectrogram 1	1	11857.570865267	11859.072252388	39.6	157.3	FN
162	Spectrogram 1	1	11882.460576154	11884.073177136	35.1	141.4	FN
