Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
23	Spectrogram 1	1	1581.614450478	1583.671906903	71.3	166.3	FN
29	Spectrogram 1	1	1592.831512451	1593.806488037	67	226	FP
30	Spectrogram 1	1	1681.066802979	1682.389984131	67	226	FP
31	Spectrogram 1	1	1689.563018799	1690.050506592	67	226	FP
32	Spectrogram 1	1	1710.17678833	1710.664276123	67	226	FP
24	Spectrogram 1	1	1866.378090506	1868.240922675	46.4	198	TP
25	Spectrogram 1	1	1899.884101366	1901.357685022	69	209.3	FN
26	Spectrogram 1	1	1942.679304885	1944.069478145	60	193.5	FN
27	Spectrogram 1	1	1979.910980083	1981.301153344	69	184.4	TP
35	Spectrogram 1	1	2011.792449951	2012.419219971	67	226	TP
29	Spectrogram 1	1	2037.831268678	2039.277048869	48.7	209.3	TP
37	Spectrogram 1	1	2078.578277588	2079.135406494	67	226	FP
30	Spectrogram 1	1	2100.397571242	2101.954565294	64.5	182.1	FN
38	Spectrogram 1	1	2143.414154053	2144.389129639	67	226	TP
32	Spectrogram 1	1	2183.343813807	2184.567166276	69	170.8	FN
33	Spectrogram 1	1	2218.017570206	2219.129708814	69	207	FN
34	Spectrogram 1	1	2248.520806823	2249.660748896	69	195.7	FN
35	Spectrogram 1	1	2291.260403411	2292.233524694	75.8	179.9	FN
39	Spectrogram 1	1	2305.399383545	2306.235076904	67	226	FP
40	Spectrogram 1	1	2330.957672119	2331.723724365	67	226	TP
41	Spectrogram 1	1	2362.992584229	2363.967559814	67	226	FP
37	Spectrogram 1	1	2385.772887505	2386.857222648	57.7	164	FN
42	Spectrogram 1	1	2436.951446533	2437.717498779	67	226	TP
43	Spectrogram 1	1	2488.137664795	2489.042999268	67	226	FP
44	Spectrogram 1	1	2513.347747803	2514.113800049	67	226	FP
45	Spectrogram 1	1	2554.087799072	2554.575286865	67	226	FP
39	Spectrogram 1	1	2588.927686576	2591.040749933	73.5	218.3	FN
46	Spectrogram 1	1	2616.973724365	2617.739776611	67	226	FP
40	Spectrogram 1	1	2633.129708814	2635.353986031	71.3	191.2	FN
41	Spectrogram 1	1	2702.841501938	2704.259478664	64.5	177.6	FN
47	Spectrogram 1	1	2731.394073486	2731.881561279	67	226	FP
42	Spectrogram 1	1	2773.384563739	2774.635719674	69	218.3	FN
48	Spectrogram 1	1	2827.568450928	2828.055938721	67	226	FP
43	Spectrogram 1	1	2839.009247477	2840.065779155	71.3	198	FN
49	Spectrogram 1	1	2862.946136475	2864.060394287	67	226	FP
44	Spectrogram 1	1	2880.022193944	2881.301153344	60	204.8	FN
50	Spectrogram 1	1	2910.719940186	2911.764556885	67	226	FP
45	Spectrogram 1	1	2947.287282129	2948.482831133	44.1	170.8	FN
46	Spectrogram 1	1	2979.931385567	2981.293755362	64.5	200.2	FN
51	Spectrogram 1	1	3009.471038818	3010.585296631	67	226	FP
52	Spectrogram 1	1	3127.860931396	3129.323394775	67	226	TP
53	Spectrogram 1	1	3152.513885498	3153.419219971	67	226	FP
54	Spectrogram 1	1	3259.204071045	3259.830841064	67	226	FP
48	Spectrogram 1	1	3476.71913007	3478.10930333	71.3	184.4	FN
55	Spectrogram 1	1	3496.192779541	3497.44631958	67	226	FP
56	Spectrogram 1	1	3582.75668335	3583.870941162	67	226	FP
57	Spectrogram 1	1	3723.849578857	3724.406707764	67	226	FP
49	Spectrogram 1	1	3747.163985513	3748.581962239	73.5	241	TP
59	Spectrogram 1	1	3806.304656982	3806.792144775	67	226	FP
50	Spectrogram 1	1	3813.23907318	3814.239997927	91.6	182.1	FN
51	Spectrogram 1	1	3833.958264285	3834.931385567	105.2	186.7	FN
52	Spectrogram 1	1	3868.626472197	3870.23907318	80.3	213.8	FN
