Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
90	Waveform 1	1	5697.658899401	5698.493003357	78.1	184.4	FN
91	Waveform 1	1	5774.153594971	5775.058929443	50.0	250.0	FP
92	Waveform 1	1	5934.378090506	5935.601442975	60.0	148.2	FN
93	Waveform 1	1	5970.211269715	5971.768263766	82.6	184.4	FN
94	Waveform 1	1	6012.322483575	6013.434622184	89.4	186.7	FN
95	Waveform 1	1	6111.322483575	6112.601442975	55.4	166.3	FN
96	Waveform 1	1	6162.925837081	6164.010172224	105.2	227.4	FN
97	Waveform 1	1	6200.914337158	6201.610748291	50.0	250.0	FP
98	Waveform 1	1	6559.687627614	6561.049997409	80.3	202.5	FN
99	Waveform 1	1	6638.321558828	6639.211269715	69.0	168.6	FN
100	Waveform 1	1	6707.874853889	6708.792368241	69.0	152.7	FN
101	Waveform 1	1	6990.072252388	6991.712656836	66.8	173.1	FN
102	Waveform 1	1	7060.823870697	7062.241847423	57.7	170.8	FN
103	Waveform 1	1	7079.766414271	7081.239997927	62.2	170.8	FN
104	Waveform 1	1	7137.767339019	7139.074101884	71.3	193.5	FN
105	Waveform 1	1	7319.735836563	7320.542137054	105.2	195.7	FN
106	Waveform 1	1	7572.850749414	7573.740460301	73.5	175.4	FN
107	Waveform 1	1	7621.126009824	7622.210344967	71.3	136.9	FN
108	Waveform 1	1	7700.657974653	7701.436471679	48.7	132.4	FN
109	Waveform 1	1	7841.877628132	7843.295604858	35.1	132.4	FN
110	Waveform 1	1	8007.986992497	8009.043524176	66.8	150.5	FN
111	Waveform 1	1	8041.250396729	8042.016448975	50.0	250.0	FP
112	Waveform 1	1	8139.235443115	8139.792572021	50.0	250.0	FP
113	Waveform 1	1	8176.841644287	8177.816619873	50.0	250.0	FP
114	Waveform 1	1	8228.167144775	8228.793914795	50.0	250.0	FP
115	Waveform 1	1	8236.048147914	8237.438321175	64.5	188.9	FN
116	Waveform 1	1	8318.710807341	8319.795142484	64.5	139.2	FN
117	Waveform 1	1	8416.312311351	8417.368843029	75.8	157.3	FN
118	Waveform 1	1	8428.106781006	8428.594268799	50.0	250.0	FP
119	Waveform 1	1	8445.447418213	8446.213470459	50.0	250.0	FP
120	Waveform 1	1	8460.350616455	8460.838104248	50.0	250.0	TP
121	Waveform 1	1	8583.824310303	8584.590362549	50.0	250.0	TP
122	Waveform 1	1	8652.351165771	8652.838653564	50.0	250.0	TP
123	Waveform 1	1	8671.876703384	8673.600518228	53.2	229.7	FN
124	Waveform 1	1	8695.598297119	8696.294708252	50.0	250.0	TP
125	Waveform 1	1	8710.629246440	8712.075026631	93.9	184.4	FN
126	Waveform 1	1	8733.822945949	8735.546760792	44.1	177.6	FN
127	Waveform 1	1	8762.655200410	8763.989766740	69.0	186.7	FN
128	Waveform 1	1	8795.602367723	8797.214968705	39.6	175.4	FN
129	Waveform 1	1	8821.876703384	8823.795142484	57.7	175.4	FN
130	Waveform 1	1	8854.682079128	8856.711732088	73.5	220.6	FN
131	Waveform 1	1	8887.807769775	8888.782745361	50.0	250.0	TP
132	Waveform 1	1	8930.154738036	8931.961963275	96.2	229.7	FN
133	Waveform 1	1	8949.464275144	8951.021269196	71.3	202.5	FN
134	Waveform 1	1	8974.302032471	8975.207366943	50.0	250.0	TP
135	Waveform 1	1	8991.656125158	8992.879477627	37.3	150.5	FN
136	Waveform 1	1	9009.906356345	9011.352136536	82.6	157.3	FN
137	Waveform 1	1	9056.210344967	9057.711732088	53.2	148.2	FN
138	Waveform 1	1	9098.182541502	9100.184390997	39.6	177.6	FN
139	Waveform 1	1	9125.353607178	9126.258941650	50.0	250.0	TP
