Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
89	Waveform 1	1	7138.562286377	7138.980133057	135.0	175.0	TP
90	Waveform 1	1	7319.735836563	7320.542137054	105.2	195.7	FN
91	Waveform 1	1	7572.850749414	7573.740460301	73.5	175.4	FN
92	Waveform 1	1	7621.126009824	7622.210344967	71.3	136.9	FN
93	Waveform 1	1	7700.657974653	7701.436471679	48.7	132.4	FN
94	Waveform 1	1	7841.877628132	7843.295604858	35.1	132.4	FN
95	Waveform 1	1	8007.986992497	8009.043524176	66.8	150.5	FN
96	Waveform 1	1	8236.048147914	8237.438321175	64.5	188.9	FN
97	Waveform 1	1	8318.710807341	8319.795142484	64.5	139.2	FN
98	Waveform 1	1	8416.312311351	8417.368843029	75.8	157.3	FN
99	Waveform 1	1	8460.072252388	8461.184390997	64.5	139.2	FN
100	Waveform 1	1	8583.430923193	8585.488379619	48.7	168.6	FN
101	Waveform 1	1	8652.008322729	8653.898958364	32.8	202.5	FN
102	Waveform 1	1	8671.876703384	8673.600518228	53.2	229.7	FN
103	Waveform 1	1	8695.209420219	8696.822021202	39.6	125.6	FN
104	Waveform 1	1	8710.629246440	8712.075026631	93.9	184.4	FN
105	Waveform 1	1	8733.822945949	8735.546760792	44.1	177.6	FN
106	Waveform 1	1	8762.655200410	8763.989766740	69.0	186.7	FN
107	Waveform 1	1	8795.602367723	8797.214968705	39.6	175.4	FN
108	Waveform 1	1	8821.876703384	8823.795142484	57.7	175.4	FN
109	Waveform 1	1	8854.682079128	8856.711732088	73.5	220.6	FN
110	Waveform 1	1	8887.570865267	8888.988841993	80.3	186.7	FN
111	Waveform 1	1	8930.154738036	8931.961963275	96.2	229.7	FN
112	Waveform 1	1	8949.464275144	8951.021269196	71.3	202.5	FN
113	Waveform 1	1	8974.156587532	8975.936009305	44.1	159.5	FN
114	Waveform 1	1	8991.656125158	8992.879477627	37.3	150.5	FN
115	Waveform 1	1	9009.906356345	9011.352136536	82.6	157.3	FN
116	Waveform 1	1	9056.210344967	9057.711732088	53.2	148.2	FN
117	Waveform 1	1	9098.182541502	9100.184390997	39.6	177.6	FN
118	Waveform 1	1	9125.157512279	9127.242772170	53.2	222.9	FN
119	Waveform 1	1	9171.350287041	9173.407743466	64.5	177.6	FN
120	Waveform 1	1	9195.350287041	9197.046298419	46.4	175.4	FN
121	Waveform 1	1	9281.074101884	9282.603292471	48.7	175.4	FN
122	Waveform 1	1	9412.654275663	9414.016645458	60.0	139.2	FN
123	Waveform 1	1	9423.859072143	9425.332655800	37.3	116.5	FN
124	Waveform 1	1	9461.488379619	9463.239997927	46.4	148.2	FN
125	Waveform 1	1	9492.711732088	9494.240922675	41.9	164.0	FN
126	Waveform 1	1	9553.462425649	9555.047223166	64.5	161.8	FN
127	Waveform 1	1	9599.961038528	9601.434622184	78.1	175.4	FN
128	Waveform 1	1	9696.069478145	9698.238148432	37.3	193.5	FN
129	Waveform 1	1	9728.541212306	9729.514333589	37.3	127.8	FN
130	Waveform 1	1	9830.015720710	9830.766414271	78.1	145.9	FN
131	Waveform 1	1	9879.878552880	9881.324333071	44.1	191.2	FN
132	Waveform 1	1	9912.906356345	9914.518957327	44.1	186.7	FN
133	Waveform 1	1	9982.709882593	9983.655200410	69.0	150.5	FN
134	Waveform 1	1	10037.210344967	10038.461500901	50.9	148.2	FN
135	Waveform 1	1	10086.822945949	10088.379940001	32.8	193.5	FN
136	Waveform 1	1	10211.652426167	10213.292830615	53.2	213.8	FN
137	Waveform 1	1	10242.536346436	10243.163116455	135.0	175.0	TP
138	Waveform 1	1	10364.207570724	10366.042599428	44.1	166.3	FN
139	Waveform 1	1	10397.627396945	10399.212194462	48.7	159.5	FN
140	Waveform 1	1	10427.290981119	10429.070402893	48.7	179.9	FN
141	Waveform 1	1	10505.685778118	10507.353986031	44.1	182.1	FN
142	Waveform 1	1	10557.489304367	10559.518957327	48.7	209.3	FN
143	Waveform 1	1	10636.012021720	10637.819246959	30.6	155.0	FN
144	Waveform 1	1	10660.014795963	10661.933235062	44.1	148.2	FN
145	Waveform 1	1	10808.300750732	10808.997161865	135.0	175.0	TP
146	Waveform 1	1	10876.095432115	10877.708033098	50.9	184.4	FN
147	Waveform 1	1	11052.375316263	11054.043524176	41.9	179.9	FN
148	Waveform 1	1	11092.960113780	11094.378090506	96.2	241.0	FN
149	Waveform 1	1	11155.373466767	11156.902657354	103.0	170.8	FN
150	Waveform 1	1	11188.126009824	11189.404969223	53.2	143.7	FN
151	Waveform 1	1	11241.236298937	11242.459651406	57.7	136.9	FN
152	Waveform 1	1	11265.681154380	11267.210344967	57.7	216.1	FN
153	Waveform 1	1	11311.987917245	11313.489304367	44.1	157.3	FN
154	Waveform 1	1	11360.738610806	11362.518032580	53.2	179.9	FN
155	Waveform 1	1	11393.564666748	11393.982513428	135.0	175.0	FP
156	Waveform 1	1	11454.430923193	11455.848899919	44.1	166.3	FN
157	Waveform 1	1	11611.126009824	11612.627396945	62.2	179.9	FN
158	Waveform 1	1	11648.680229632	11649.959189032	55.4	284.0	FN
159	Waveform 1	1	11701.987917245	11703.878552880	39.6	195.7	FN
160	Waveform 1	1	11738.624622702	11740.376241010	41.9	177.6	FN
161	Waveform 1	1	11802.875778637	11804.599593480	55.4	170.8	FN
162	Waveform 1	1	11857.570865267	11859.072252388	39.6	157.3	FN
163	Waveform 1	1	11882.460576154	11884.073177136	35.1	141.4	FN
164	Waveform 1	1	11905.070402893	11906.404969223	48.7	116.5	FN
165	Waveform 1	1	12013.926761829	12014.899883111	69.0	132.4	FN
166	Waveform 1	1	12028.189939483	12029.413291952	73.5	191.2	FN
167	Waveform 1	1	12071.849824667	12072.739535554	123.3	204.8	FN
168	Waveform 1	1	12118.095432115	12119.290981119	121.1	259.1	FN
