Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
89	Waveform 1	1	3747.666839600	3748.432891846	67.0	226.0	TP
90	Waveform 1	1	3806.304656982	3806.792144775	67.0	226.0	FP
91	Waveform 1	1	3813.239073180	3814.239997927	91.6	182.1	FN
92	Waveform 1	1	3833.958264285	3834.931385567	105.2	186.7	FN
93	Waveform 1	1	3868.626472197	3870.239073180	80.3	213.8	FN
94	Waveform 1	1	3899.933235062	3901.128784067	80.3	195.7	FN
95	Waveform 1	1	3924.155662784	3925.128784067	78.1	168.6	FN
96	Waveform 1	1	3969.936934053	3971.104679592	55.4	170.8	FN
97	Waveform 1	1	3985.935084558	3987.408668214	69.0	184.4	FN
98	Waveform 1	1	4076.372894287	4077.696075439	67.0	226.0	FP
99	Waveform 1	1	4093.045373671	4094.352136536	71.3	173.1	FN
100	Waveform 1	1	4213.496246338	4214.053375244	67.0	226.0	FP
101	Waveform 1	1	4245.740081787	4246.366851807	67.0	226.0	FP
102	Waveform 1	1	4312.108062744	4313.083038330	67.0	226.0	FP
103	Waveform 1	1	4323.344738555	4324.345663302	55.4	166.3	FN
104	Waveform 1	1	4347.903594971	4348.391082764	67.0	226.0	TP
105	Waveform 1	1	4381.737686058	4382.988841993	80.3	193.5	FN
106	Waveform 1	1	4403.327107314	4403.994390479	73.5	161.8	FN
107	Waveform 1	1	4425.065948486	4425.553436279	67.0	226.0	FP
108	Waveform 1	1	4485.584075928	4487.325103760	67.0	226.0	FP
109	Waveform 1	1	4577.263177654	4578.180692006	89.4	170.8	FN
110	Waveform 1	1	4612.045373671	4613.046298419	93.9	188.9	FN
111	Waveform 1	1	4700.705474854	4701.401885986	67.0	226.0	TP
112	Waveform 1	1	4751.822052002	4752.657745361	67.0	226.0	FP
113	Waveform 1	1	4793.488379619	4794.461500901	103.0	193.5	FN
114	Waveform 1	1	4809.989766740	4810.879477627	71.3	148.2	FN
115	Waveform 1	1	4836.505645752	4837.202056885	67.0	226.0	FP
116	Waveform 1	1	4862.154738036	4863.211269715	62.2	211.6	FN
117	Waveform 1	1	4892.288177490	4893.123870850	67.0	226.0	FP
118	Waveform 1	1	5125.446624756	5126.491241455	67.0	226.0	FP
119	Waveform 1	1	5158.568091024	5159.708033098	69.0	236.4	FN
120	Waveform 1	1	5170.634794926	5171.496702348	69.0	218.3	FN
121	Waveform 1	1	5246.513408841	5247.291905867	91.6	191.2	FN
122	Waveform 1	1	5270.961038528	5272.295604858	64.5	186.7	FN
123	Waveform 1	1	5285.543986549	5286.461500901	91.6	227.4	FN
124	Waveform 1	1	5542.070402893	5542.932310315	69.0	170.8	FN
125	Waveform 1	1	5590.823870697	5591.657974653	78.1	213.8	FN
126	Waveform 1	1	5627.101905349	5628.353061284	112.0	202.5	FN
127	Waveform 1	1	5697.658899401	5698.493003357	78.1	184.4	FN
128	Waveform 1	1	5810.018768311	5811.272308350	67.0	226.0	FP
129	Waveform 1	1	5861.135345459	5862.110321045	67.0	226.0	FP
130	Waveform 1	1	5933.562103271	5935.094207764	67.0	226.0	TP
131	Waveform 1	1	5941.361907959	5942.127960205	67.0	226.0	FP
132	Waveform 1	1	5970.211269715	5971.768263766	82.6	184.4	FN
133	Waveform 1	1	6012.322483575	6013.434622184	89.4	186.7	FN
134	Waveform 1	1	6111.322483575	6112.601442975	55.4	166.3	FN
135	Waveform 1	1	6162.925837081	6164.010172224	105.2	227.4	FN
136	Waveform 1	1	6200.914337158	6201.401824951	67.0	226.0	FP
137	Waveform 1	1	6233.854583740	6234.690277100	67.0	226.0	FP
138	Waveform 1	1	6257.950408936	6258.437896729	67.0	226.0	FP
139	Waveform 1	1	6408.027008057	6408.862701416	67.0	226.0	FP
