Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
60	Spectrogram 1	1	5488.737229126	5489.690617017	70.2	192.3	FN
51	Spectrogram 1	1	5696.364471436	5696.991241455	45	90	FP
52	Spectrogram 1	1	5770.392974854	5770.95010376	75	120	TP
53	Spectrogram 1	1	5820.18637085	5820.952423096	75	120	FP
62	Spectrogram 1	1	5958.521105492	5959.686357358	72.5	176.2	FN
54	Spectrogram 1	1	6018.036773682	6018.524261475	105	135	FP
63	Spectrogram 1	1	6095.321949285	6096.508387549	67.9	187.7	TP
56	Spectrogram 1	1	6129.044708252	6129.950042725	120	180	TP
65	Spectrogram 1	1	6411.355863797	6412.542302062	63.3	180.8	FN
66	Spectrogram 1	1	6433.292314777	6433.843161114	70.2	171.6	FN
67	Spectrogram 1	1	6500.999914008	6501.889742706	72.5	201.6	TP
68	Spectrogram 1	1	6512.33463671	6513.393956588	63.3	222.3	FN
69	Spectrogram 1	1	6528.220276957	6529.512647209	61	144	FN
70	Spectrogram 1	1	6549.449047326	6550.465994409	84.1	167	FN
71	Spectrogram 1	1	6788.249921637	6789.224495925	65.6	213.1	FN
72	Spectrogram 1	1	6899.461785613	6900.754155865	63.3	167	FN
58	Spectrogram 1	1	6900.180755615	6900.668243408	105	150	TP
73	Spectrogram 1	1	6916.949093102	6918.177904161	74.8	185.4	FN
59	Spectrogram 1	1	6950.809844971	6951.158050537	75	135	FP
60	Spectrogram 1	1	7071.358612061	7071.846099854	90	135	FP
74	Spectrogram 1	1	7162.406684703	7163.444818184	65.6	187.7	TP
62	Spectrogram 1	1	7200.333953857	7201.169647217	60	105	TP
76	Spectrogram 1	1	7248.639724904	7249.465994409	77.1	164.7	FN
77	Spectrogram 1	1	7324.385498305	7325.148208618	79.4	146.3	FN
63	Spectrogram 1	1	7461.000640869	7461.697052002	90	150	TP
79	Spectrogram 1	1	7551.071972173	7552.385528823	77.1	215.4	FN
80	Spectrogram 1	1	7588.071951828	7589.11008531	70.2	155.5	FN
81	Spectrogram 1	1	7847.902480993	7849.046546462	72.5	176.2	FN
82	Spectrogram 1	1	7923.23718335	7924.063452855	84.1	197	FN
83	Spectrogram 1	1	7951.275316831	7951.995654349	58.7	164.7	FN
64	Spectrogram 1	1	7959.213165283	7960.188140869	90	195	TP
65	Spectrogram 1	1	7996.401519775	7997.167572021	45	105	FP
85	Spectrogram 1	1	8000.847359738	8002.542271544	67.9	220	FN
66	Spectrogram 1	1	8001.833526611	8002.181732178	120	165	TP
86	Spectrogram 1	1	8021.838891283	8022.771092776	77.1	224.6	FN
67	Spectrogram 1	1	8037.907623291	8038.395111084	45	105	FP
87	Spectrogram 1	1	8055.639724904	8056.762603975	70.2	190	FN
88	Spectrogram 1	1	8085.550790862	8086.588924343	74.8	190	FN
89	Spectrogram 1	1	8107.160916388	8107.902440303	91	178.5	FN
68	Spectrogram 1	1	8232.206329346	8232.902740479	105	180	TP
69	Spectrogram 1	1	8247.875579834	8248.43270874	45	90	FP
91	Spectrogram 1	1	8280.080440629	8281.11857411	63.3	180.8	TP
71	Spectrogram 1	1	8301.290313721	8302.613494873	75	150	TP
72	Spectrogram 1	1	8390.8487854	8391.47555542	105	180	TP
73	Spectrogram 1	1	8399.832489014	8400.319976807	90	150	TP
95	Spectrogram 1	1	8601.135531366	8601.855868884	58.7	190	FN
96	Spectrogram 1	1	8685.970269327	8686.796538832	95.6	171.6	FN
97	Spectrogram 1	1	8717.906699962	8718.754155865	67.9	192.3	FN
74	Spectrogram 1	1	8758.275299072	8759.041351318	45	90	FP
98	Spectrogram 1	1	9098.576186056	9099.826183513	86.4	206.2	FN
99	Spectrogram 1	1	9123.601632113	9124.894002365	97.9	220	FN
75	Spectrogram 1	1	9224.801116943	9225.288604736	45	90	FP
100	Spectrogram 1	1	9336.627037479	9337.686357358	102.5	194.7	FN
102	Spectrogram 1	1	9411.016881436	9411.94908293	104.8	215.4	FN
101	Spectrogram 1	1	9446.97872761	9448.038047489	97.9	192.3	FN
103	Spectrogram 1	1	9535.309221171	9536.728709808	102.5	192.3	FN
76	Spectrogram 1	1	9559.42666626	9559.844512939	90	150	TP
105	Spectrogram 1	1	9604.487211324	9605.821954372	102.5	192.3	FN
77	Spectrogram 1	1	9750.034393311	9750.66116333	90	150	FP
106	Spectrogram 1	1	9910.813506261	9912.04231732	63.3	180.8	FN
78	Spectrogram 1	1	9947.258026123	9947.884796143	60	105	TP
108	Spectrogram 1	1	10098.084659598	10098.868556308	58.7	167	FN
79	Spectrogram 1	1	10127.628509521	10128.324920654	60	105	FP
80	Spectrogram 1	1	10199.707061768	10200.055267334	75	120	FP
81	Spectrogram 1	1	10222.68862915	10223.454681396	75	165	FP
82	Spectrogram 1	1	10266.910736084	10267.746429443	75	120	FP
109	Spectrogram 1	1	10312.855848539	10314.021100405	95.6	208.5	FN
83	Spectrogram 1	1	10424.160369873	10425.065704346	75	135	FP
84	Spectrogram 1	1	10428.965606689	10429.383453369	90	135	FP
110	Spectrogram 1	1	10494.241432836	10495.131261535	74.8	176.2	FN
111	Spectrogram 1	1	10567.063483373	10567.953312071	88.7	167	TP
86	Spectrogram 1	1	10662.959747314	10663.377593994	45	90	FP
112	Spectrogram 1	1	10877.855828194	10878.597352109	86.4	167	FN
