Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	10226.919377652	10230.780763791	37.6	48.1
1	Spectrogram 1	1	10226.919377652	10230.780763791	37.6	48.1
2	Waveform 1	1	12856.625176803	12899.355021216	28.5	54.5
2	Spectrogram 1	1	12856.625176803	12899.355021216	28.5	54.5
3	Waveform 1	1	13312.769448373	13336.234794908	27.1	38.7
3	Spectrogram 1	1	13312.769448373	13336.234794908	27.1	38.7
4	Waveform 1	1	13537.001414427	13553.847241867	25.0	40.0
4	Spectrogram 1	1	13537.001414427	13553.847241867	25.0	40.0
5	Waveform 1	1	14106.220650636	14138.851485149	27.7	43.1
5	Spectrogram 1	1	14106.220650636	14138.851485149	27.7	43.1
6	Waveform 1	1	14241.097595474	14271.564356436	26.4	47.2
6	Spectrogram 1	1	14241.097595474	14271.564356436	26.4	47.2
7	Waveform 1	1	15031.264497878	15040.854314003	27.7	41.5
7	Spectrogram 1	1	15031.264497878	15040.854314003	27.7	41.5
8	Waveform 1	1	16875.072135785	16892.172560113	26.7	45.0
8	Spectrogram 1	1	16875.072135785	16892.172560113	26.7	45.0
