Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
89	Waveform 1	1	6512.334636710	6513.393956588	63.3	222.3	FN
90	Waveform 1	1	6528.220276957	6529.512647209	61.0	144.0	FN
91	Waveform 1	1	6549.449047326	6550.465994409	84.1	167.0	FN
92	Waveform 1	1	6788.249921637	6789.224495925	65.6	213.1	FN
93	Waveform 1	1	6794.047698975	6794.953033447	67.0	226.0	FP
94	Waveform 1	1	6899.461785613	6900.754155865	63.3	167.0	FN
95	Waveform 1	1	6916.949093102	6918.177904161	74.8	185.4	FN
96	Waveform 1	1	7055.480438232	7057.221466064	67.0	226.0	FP
97	Waveform 1	1	7071.358612061	7072.403228760	67.0	226.0	FP
98	Waveform 1	1	7153.744049072	7154.719024658	67.0	226.0	FP
99	Waveform 1	1	7162.406684703	7163.444818184	65.6	187.7	FN
100	Waveform 1	1	7200.135531366	7201.999934353	67.9	206.2	FN
101	Waveform 1	1	7248.943450928	7249.779144287	67.0	226.0	TP
102	Waveform 1	1	7324.573699951	7326.036163330	67.0	226.0	TP
103	Waveform 1	1	7460.861358643	7461.697052002	67.0	226.0	TP
104	Waveform 1	1	7551.185882568	7552.369781494	67.0	226.0	TP
105	Waveform 1	1	7588.071951828	7589.110085310	70.2	155.5	FN
106	Waveform 1	1	7739.843658447	7740.400787354	67.0	226.0	FP
107	Waveform 1	1	7847.902480993	7849.046546462	72.5	176.2	FN
108	Waveform 1	1	7923.237183350	7924.063452855	84.1	197.0	FN
109	Waveform 1	1	7951.275316831	7951.995654349	58.7	164.7	FN
110	Waveform 1	1	7959.213165283	7960.188140869	67.0	226.0	TP
111	Waveform 1	1	8000.847359738	8002.542271544	67.9	220.0	FN
112	Waveform 1	1	8021.890167236	8022.656219482	67.0	226.0	TP
113	Waveform 1	1	8055.639724904	8056.762603975	70.2	190.0	FN
114	Waveform 1	1	8085.550790862	8086.588924343	74.8	190.0	FN
115	Waveform 1	1	8107.160916388	8107.902440303	91.0	178.5	FN
116	Waveform 1	1	8231.231353760	8232.833099365	67.0	226.0	TP
117	Waveform 1	1	8280.258697510	8280.815826416	67.0	226.0	TP
118	Waveform 1	1	8301.290313721	8302.892059326	67.0	226.0	TP
119	Waveform 1	1	8390.430938721	8391.266632080	67.0	226.0	TP
120	Waveform 1	1	8399.902450475	8400.559228800	81.7	190.0	FN
121	Waveform 1	1	8506.522674561	8507.010162354	67.0	226.0	FP
122	Waveform 1	1	8519.475921631	8520.102691650	67.0	226.0	FP
123	Waveform 1	1	8601.135531366	8601.855868884	58.7	190.0	FN
124	Waveform 1	1	8685.970269327	8686.796538832	95.6	171.6	FN
125	Waveform 1	1	8717.906699962	8718.754155865	67.9	192.3	FN
126	Waveform 1	1	8770.741058350	8771.855316162	67.0	226.0	FP
127	Waveform 1	1	8923.951507568	8925.065765381	67.0	226.0	FP
128	Waveform 1	1	9098.576186056	9099.826183513	86.4	206.2	FN
129	Waveform 1	1	9123.601632113	9124.894002365	97.9	220.0	FN
130	Waveform 1	1	9223.686859131	9224.243988037	67.0	226.0	FP
131	Waveform 1	1	9336.627037479	9337.686357358	102.5	194.7	FN
132	Waveform 1	1	9405.310882568	9406.425140381	67.0	226.0	FP
133	Waveform 1	1	9411.016881436	9411.949082930	104.8	215.4	FN
134	Waveform 1	1	9436.997589111	9438.042205811	67.0	226.0	FP
135	Waveform 1	1	9446.978727610	9448.038047489	97.9	192.3	FN
136	Waveform 1	1	9518.756256104	9519.383026123	67.0	226.0	FP
137	Waveform 1	1	9535.309221171	9536.728709808	102.5	192.3	FN
138	Waveform 1	1	9559.470243896	9560.190581413	77.1	201.6	FN
139	Waveform 1	1	9604.487211324	9605.821954372	102.5	192.3	FN
140	Waveform 1	1	9910.813506261	9912.042317320	63.3	180.8	FN
